user,in_degree,out_degree,total_degree,pagerank
Tesco,25210,1,25211,0.18233270899244491
raceforlife,4,0,4,0.1586216692679753
sainsburys,2596,3,2599,0.012652366096541958
Morrisons,1932,11,1943,0.007962902321719341
PropJourn,2,3,5,0.007307023136304331
asda,1387,0,1387,0.005174713207683668
jamesmurden,719,9,728,0.004555195674206675
waitrose,1437,0,1437,0.004283968736802736
LCoyle_Comms,511,17,528,0.003949659914294637
AldiUK,1393,10,1403,0.003426709652360914
ChrisGPackham,539,0,539,0.0034074792634314227
LidlGB,1250,0,1250,0.0030202799415831117
nicholasmith6,507,12,519,0.0025471081962333917
WelshGovernment,392,0,392,0.0016668921528376567
Ocado,513,17,530,0.0015313480852594016
kt1515123,265,10,275,0.0015209897878666865
coopuk,498,9,507,0.00147436000097419
marksandspencer,420,0,420,0.0013810183828601044
johnheaney2,3,0,3,0.0013487495828396231
wuisasmum,3,0,3,0.0012887858935545539
jeremy_crooker,2,0,2,0.001273763981276067
poorscousertom1,446,0,446,0.0012376891409380782
IcelandFoods,428,5,433,0.0011935402464300633
FareShareUK,190,15,205,0.0011842466515869774
saucy_mahi,113,0,113,0.001167391313650806
yvonnemcdonnel5,2,0,2,0.0009050249720623402
TrussellTrust,123,0,123,0.0008457324393669462
piersmorgan,241,0,241,0.0008408034529978369
madewithstring,383,0,383,0.0008197850902421408
OLIO_ex,122,7,129,0.000793815856630295
RishiSunak,260,0,260,0.0007454909673690926
AndyBurnhamGM,164,1,165,0.0006927292081618553
groundworkuk,110,1,111,0.0006539892590231831
DevonWildlife,6,0,6,0.00065052305816246
Clevedon2288,1,0,1,0.0006456698658919206
wigsandwords,93,11,104,0.0006247880761688329
RichieUK_TTV,2,3,5,0.0006085448982808477
BorisJohnson,177,0,177,0.0005841146606376761
animal_equality,99,0,99,0.000576427367172878
tesconews,156,3,159,0.0005728826005079931
OpenCagesUK,107,53,160,0.000553872785956288
Channel4,293,0,293,0.0005143005060599096
AsdaServiceTeam,89,4,93,0.0005096233812017621
CarolPoyerPeett,116,12,128,0.0004883390015659306
TROYmagician,109,0,109,0.0004620129156425544
weaniejeanie53,372,463,835,0.00044860304271190254
MarcusRashford,82,2,84,0.0004402292189832353
mspxdley,59,3,62,0.0004355893479495166
thisfarmlife,43,6,49,0.0004329022395957043
Ash_Hirani,95,6,101,0.00043086778222174395
