topic,top_words
0,"essential, product, non, hell, literally, tear, period, beer, raging, tweet, farm, shop, lost, sunday, supplying"
1,"many, customer, sorry, time, daughter, came, matter, shift, sweet, tear, basket, absolute, say, think, sadly"
2,"something, store, staff, instead, asking, hygiene, thousand, cleaner, axing, right, huge, hug, christmas, list, broken"
3,"look, like, meat, sell, food, halal, date, guy, driver, british, sorry, range, dear, took, three"
4,"wearing, believe, kicked, facemask, mask, shocking, face, idiot, trolley, fix, like, suffer, simply, company, mental"
5,"store, hour, queue, please, staff, system, proper, app, clean, waiting, idea, join, cleaner, instead, thousand"
6,"delivery, slot, week, order, vulnerable, collect, click, home, item, day, food, completely, help, book, available"
7,"stop, chicken, selling, like, poor, live, beyond, cruel, deal, frankenchickens, belief, meal, supermarket, please, car"
8,"disgusting, store, absolutely, mask, bought, local, anyone, government, pack, woman, ridiculous, another, think, fucking, fuck"
9,"customer, staff, service, store, social, like, bag, distancing, shame, covid, taking, put, roll, care, business"
10,"shopping, shop, online, time, racist, staff, need, every, family, getting, without, help, year, whole, think"
11,"nothing, call, animal, egg, plastic, find, disappointed, chicken, free, bought, place, last, week, box, phone"
